Title,Location,Price,Area,BHK
"5 BHK Apartment - In a Dark, Dark Wood",Chandigarh,9473108.0,1200,5
2 BHK Apartment - Behind Closed Doors,Faridabad,6435085.0,650,2
4 BHK Apartment - You can't bury them all: Poems,Delhi,8884481.0,800,4
2 BHK Apartment - Slow States of Collapse: Poems,Mumbai,9458530.0,1000,2
5 BHK Apartment - Reasons to Stay Alive,Noida,7662601.0,650,5
4 BHK Apartment - Private Paris (Private #10),Hyderabad,16912827.0,2800,4
5 BHK Apartment - #HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Jaipur,7311821.0,800,5
1 BHK Apartment - Without Borders (Wanderlove #1),Gurgaon,7417567.0,800,1
3 BHK Apartment - When We Collided,Delhi,12939275.0,1800,3
"5 BHK Apartment - We Love You, Charlie Freeman",Kolkata,7853411.0,800,5
5 BHK Apartment - Untitled Collection: Sabbath Poems 2014,Faridabad,9690581.0,1200,5
"2 BHK Apartment - Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Bangalore,6458059.0,500,2
1 BHK Apartment - Unicorn Tracks,Chandigarh,7284839.0,1000,1
"4 BHK Apartment - Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Noida,11351081.0,1500,4
1 BHK Apartment - Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Faridabad,5257101.0,500,1
2 BHK Apartment - Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Pune,6846795.0,650,2
2 BHK Apartment - This One Summer,Mumbai,9556623.0,1000,2
2 BHK Apartment - Thirst,Faridabad,7066556.0,800,2
2 BHK Apartment - The Torch Is Passed: A Harding Family Story,Bangalore,7184246.0,650,2
1 BHK Apartment - The Secret of Dreadwillow Carse,Faridabad,7624956.0,1000,1
"4 BHK Apartment - The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Hyderabad,16816090.0,2800,4
5 BHK Apartment - The Past Never Ends,Bangalore,15117919.0,2200,5
5 BHK Apartment - The Natural History of Us (The Fine Art of Pretending #2),Bhopal,11578089.0,1800,5
1 BHK Apartment - The Nameless City (The Nameless City #1),Chandigarh,9706476.0,1500,1
2 BHK Apartment - The Murder That Never Was (Forensic Instincts #5),Delhi,8010835.0,800,2
5 BHK Apartment - The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Hyderabad,8054707.0,800,5
"4 BHK Apartment - The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Mumbai,10252149.0,1000,4
4 BHK Apartment - The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Bangalore,13182469.0,1800,4
"2 BHK Apartment - The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Bhopal,8030284.0,1200,2
3 BHK Apartment - The Gutsy Girl: Escapades for Your Life of Epic Adventure,Kolkata,5873221.0,500,3
1 BHK Apartment - The Electric Pencil: Drawings from Inside State Hospital No. 3,Ghaziabad,6592893.0,800,1
3 BHK Apartment - The Death of Humanity: and the Case for Life,Noida,8856382.0,1000,3
"4 BHK Apartment - The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Indore,15879129.0,2800,4
1 BHK Apartment - The Art Forger,Hyderabad,10012478.0,1500,1
5 BHK Apartment - The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Kolkata,12325546.0,1800,5
1 BHK Apartment - The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Jaipur,9465563.0,1500,1
5 BHK Apartment - Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Bangalore,18040434.0,2800,5
4 BHK Apartment - Soul Reader,Bhopal,10137095.0,1500,4
5 BHK Apartment - Security,Ghaziabad,7226341.0,650,5
"4 BHK Apartment - Saga, Volume 6 (Saga (Collected Editions) #6)",Gurgaon,11676023.0,1500,4
"3 BHK Apartment - Saga, Volume 5 (Saga (Collected Editions) #5)",Ghaziabad,7070502.0,800,3
4 BHK Apartment - Reskilling America: Learning to Labor in the Twenty-First Century,Hyderabad,9684990.0,1200,4
"5 BHK Apartment - Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Ghaziabad,6304073.0,500,5
"1 BHK Apartment - Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Hyderabad,8643930.0,1200,1
1 BHK Apartment - Princess Between Worlds (Wide-Awake Princess #5),Kolkata,8350273.0,1200,1
"5 BHK Apartment - Pop Gun War, Volume 1: Gift",Faridabad,8649921.0,1000,5
"1 BHK Apartment - Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Noida,8998018.0,1200,1
1 BHK Apartment - Patience,Chandigarh,4881235.0,500,1
"5 BHK Apartment - Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Bhopal,8820851.0,1200,5
2 BHK Apartment - orange: The Complete Collection 1 (orange: The Complete Collection #1),Indore,5530763.0,650,2
2 BHK Apartment - Online Marketing for Busy Authors: A Step-By-Step Guide,Ghaziabad,15785417.0,2800,2
1 BHK Apartment - On a Midnight Clear,Chandigarh,5911767.0,650,1
2 BHK Apartment - Obsidian (Lux #1),Hyderabad,11644328.0,1800,2
5 BHK Apartment - My Paris Kitchen: Recipes and Stories,Noida,9221489.0,1000,5
3 BHK Apartment - Masks and Shadows,Bangalore,17439118.0,2800,3
"5 BHK Apartment - Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Mumbai,7974119.0,500,5
"2 BHK Apartment - Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Faridabad,9975488.0,1500,2
"1 BHK Apartment - Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Faridabad,15617851.0,2800,1
5 BHK Apartment - Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Chandigarh,9235445.0,1200,5
"2 BHK Apartment - Layered: Baking, Building, and Styling Spectacular Cakes",Ghaziabad,10132857.0,1500,2
3 BHK Apartment - Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Bangalore,9916299.0,1200,3
3 BHK Apartment - Join,Hyderabad,10775302.0,1500,3
4 BHK Apartment - In the Country We Love: My Family Divided,Bangalore,10434224.0,1200,4
3 BHK Apartment - Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Pune,7881895.0,800,3
"1 BHK Apartment - I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Indore,5256365.0,650,1
5 BHK Apartment - I am a Hero Omnibus Volume 1,Noida,17570962.0,2800,5
3 BHK Apartment - How to Be Miserable: 40 Strategies You Already Use,Delhi,13148782.0,1800,3
3 BHK Apartment - Her Backup Boyfriend (The Sorensen Family #1),Kolkata,8894307.0,1200,3
"4 BHK Apartment - Giant Days, Vol. 2 (Giant Days #5-8)",Faridabad,11945869.0,1800,4
5 BHK Apartment - Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Noida,14879380.0,2200,5
1 BHK Apartment - First and First (Five Boroughs #3),Mumbai,12628448.0,1800,1
5 BHK Apartment - Fifty Shades Darker (Fifty Shades #2),Faridabad,7834322.0,800,5
1 BHK Apartment - Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Bhopal,5910639.0,800,1
"2 BHK Apartment - Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Kolkata,5299297.0,500,2
2 BHK Apartment - Danganronpa Volume 1,Bangalore,7402972.0,650,2
5 BHK Apartment - Crown of Midnight (Throne of Glass #2),Jaipur,6346092.0,500,5
"5 BHK Apartment - Codename Baboushka, Volume 1: The Conclave of Death",Delhi,15335902.0,2200,5
2 BHK Apartment - Camp Midnight,Indore,8158956.0,1200,2
2 BHK Apartment - Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Delhi,12521717.0,1800,2
1 BHK Apartment - Burning,Bhopal,10684602.0,1800,1
4 BHK Apartment - Bossypants,Noida,7419400.0,650,4
"2 BHK Apartment - Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Faridabad,5803252.0,500,2
"5 BHK Apartment - Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Chennai,9878704.0,1200,5
2 BHK Apartment - Algorithms to Live By: The Computer Science of Human Decisions,Chandigarh,5342340.0,500,2
5 BHK Apartment - A World of Flavor: Your Gluten Free Passport,Chennai,12313140.0,1800,5
"4 BHK Apartment - A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Indore,13168328.0,2200,4
3 BHK Apartment - A Murder in Time,Indore,5203055.0,500,3
4 BHK Apartment - A Flight of Arrows (The Pathfinders #2),Delhi,7387763.0,500,4
1 BHK Apartment - A Fierce and Subtle Poison,Mumbai,12625433.0,1800,1
3 BHK Apartment - A Court of Thorns and Roses (A Court of Thorns and Roses #1),Mumbai,12012448.0,1500,3
4 BHK Apartment - (Un)Qualified: How God Uses Broken People to Do Big Things,Pune,7322305.0,650,4
4 BHK Apartment - You Are What You Love: The Spiritual Power of Habit,Pune,14134164.0,2200,4
"4 BHK Apartment - William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Bangalore,9408158.0,1000,4
1 BHK Apartment - Tuesday Nights in 1980,Bhopal,10508480.0,1800,1
1 BHK Apartment - Tracing Numbers on a Train,Chandigarh,12862114.0,2200,1
1 BHK Apartment - Throne of Glass (Throne of Glass #1),Delhi,8095699.0,800,1
1 BHK Apartment - Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Gurgaon,10652586.0,1500,1
2 BHK Apartment - Thirteen Reasons Why,Ghaziabad,7074141.0,800,2
5 BHK Apartment - The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Bhopal,8149488.0,1000,5
3 BHK Apartment - The Wedding Dress,Ghaziabad,6700070.0,650,3
3 BHK Apartment - The Vacationers,Jaipur,11359311.0,1800,3
5 BHK Apartment - The Third Wave: An Entrepreneur’s Vision of the Future,Mumbai,8023621.0,500,5
3 BHK Apartment - The Stranger,Noida,8639944.0,1000,3
1 BHK Apartment - The Shadow Hero (The Shadow Hero),Indore,7870602.0,1200,1
4 BHK Apartment - The Secret (The Secret #1),Delhi,11949883.0,1500,4
5 BHK Apartment - The Regional Office Is Under Attack!,Bhopal,9148408.0,1200,5
3 BHK Apartment - The Psychopath Test: A Journey Through the Madness Industry,Hyderabad,6759498.0,650,3
4 BHK Apartment - The Project,Delhi,12066798.0,1500,4
3 BHK Apartment - The Power of Now: A Guide to Spiritual Enlightenment,Bhopal,10989402.0,1800,3
1 BHK Apartment - The Omnivore's Dilemma: A Natural History of Four Meals,Indore,6162043.0,800,1
3 BHK Apartment - The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Delhi,10413787.0,1200,3
5 BHK Apartment - The Murder of Roger Ackroyd (Hercule Poirot #4),Kolkata,8437794.0,1000,5
3 BHK Apartment - The Mistake (Off-Campus #2),Indore,13126285.0,2200,3
2 BHK Apartment - The Matchmaker's Playbook (Wingmen Inc. #1),Pune,5948715.0,500,2
1 BHK Apartment - The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Bangalore,12238702.0,1800,1
2 BHK Apartment - The Long Shadow of Small Ghosts: Murder and Memory in an American City,Indore,12611868.0,2200,2
3 BHK Apartment - The Kite Runner,Faridabad,10283584.0,1500,3
1 BHK Apartment - The House by the Lake,Ghaziabad,6583856.0,800,1
3 BHK Apartment - The Glittering Court (The Glittering Court #1),Delhi,10195651.0,1200,3
1 BHK Apartment - The Girl on the Train,Hyderabad,13041565.0,2200,1
5 BHK Apartment - The Genius of Birds,Kolkata,10991214.0,1500,5
2 BHK Apartment - The Emerald Mystery,Delhi,8152585.0,800,2
4 BHK Apartment - The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Jaipur,7003056.0,800,4
5 BHK Apartment - The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Indore,9260980.0,1200,5
2 BHK Apartment - The Artist's Way: A Spiritual Path to Higher Creativity,Delhi,8043789.0,800,2
3 BHK Apartment - The Art of War,Gurgaon,6747929.0,500,3
1 BHK Apartment - The Argonauts,Bangalore,9364315.0,1200,1
4 BHK Apartment - The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Hyderabad,16968828.0,2800,4
1 BHK Apartment - Suddenly in Love (Lake Haven #1),Jaipur,4950340.0,500,1
3 BHK Apartment - Something More Than This,Bangalore,12961626.0,1800,3
1 BHK Apartment - Soft Apocalypse,Indore,6909978.0,1000,1
2 BHK Apartment - So You've Been Publicly Shamed,Mumbai,8679746.0,800,2
2 BHK Apartment - Shoe Dog: A Memoir by the Creator of NIKE,Ghaziabad,13329178.0,2200,2
"4 BHK Apartment - Shobu Samurai, Project Aryoku (#3)",Jaipur,8137796.0,1000,4
2 BHK Apartment - Secrets and Lace (Fatal Hearts #1),Kolkata,11150397.0,1800,2
5 BHK Apartment - Scarlett Epstein Hates It Here,Chandigarh,9547779.0,1200,5
1 BHK Apartment - Romero and Juliet: A Tragic Tale of Love and Zombies,Bangalore,12156638.0,1800,1
5 BHK Apartment - Redeeming Love,Chandigarh,10619956.0,1500,5
3 BHK Apartment - Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Delhi,9321110.0,1000,3
2 BHK Apartment - Poems That Make Grown Women Cry,Gurgaon,8531717.0,1000,2
"2 BHK Apartment - Nightingale, Sing",Kolkata,5966133.0,650,2
1 BHK Apartment - Night Sky with Exit Wounds,Hyderabad,13305808.0,2200,1
4 BHK Apartment - Mrs. Houdini,Faridabad,16665594.0,2800,4
5 BHK Apartment - Modern Romance,Ghaziabad,7655695.0,800,5
2 BHK Apartment - Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Hyderabad,16082982.0,2800,2
4 BHK Apartment - Louisa: The Extraordinary Life of Mrs. Adams,Hyderabad,7647239.0,800,4
3 BHK Apartment - Little Red,Pune,8481612.0,1000,3
5 BHK Apartment - Library of Souls (Miss Peregrine’s Peculiar Children #3),Gurgaon,8890153.0,800,5
5 BHK Apartment - Large Print Heart of the Pride,Jaipur,11807570.0,1800,5
2 BHK Apartment - I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Kolkata,7661660.0,1000,2
2 BHK Apartment - Hollow City (Miss Peregrine’s Peculiar Children #2),Indore,5865421.0,650,2
4 BHK Apartment - Grumbles,Kolkata,16335231.0,2800,4
2 BHK Apartment - Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Indore,12512986.0,2200,2
1 BHK Apartment - Frostbite (Vampire Academy #2),Bangalore,16541718.0,2800,1
4 BHK Apartment - Follow You Home,Pune,11165837.0,1500,4
4 BHK Apartment - First Steps for New Christians (Print Edition),Noida,14545561.0,2200,4
3 BHK Apartment - Finders Keepers (Bill Hodges Trilogy #2),Mumbai,8359020.0,650,3
"5 BHK Apartment - Fables, Vol. 1: Legends in Exile (Fables #1)",Indore,6589302.0,650,5
4 BHK Apartment - Eureka Trivia 6.0,Gurgaon,14701651.0,2200,4
3 BHK Apartment - Drive: The Surprising Truth About What Motivates Us,Bangalore,8151468.0,800,3
1 BHK Apartment - Done Rubbed Out (Reightman & Bailey #1),Bhopal,6135717.0,800,1
3 BHK Apartment - Doing It Over (Most Likely To #1),Gurgaon,12671415.0,1800,3
"1 BHK Apartment - Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Jaipur,7258286.0,1000,1
2 BHK Apartment - Dark Notes,Faridabad,11608804.0,1800,2
"1 BHK Apartment - Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Bhopal,6709956.0,1000,1
2 BHK Apartment - Close to You,Indore,12824119.0,2200,2
4 BHK Apartment - Chasing Heaven: What Dying Taught Me About Living,Noida,14301850.0,2200,4
2 BHK Apartment - Big Magic: Creative Living Beyond Fear,Ghaziabad,16078049.0,2800,2
1 BHK Apartment - Becoming Wise: An Inquiry into the Mystery and Art of Living,Bhopal,6059140.0,800,1
1 BHK Apartment - Beauty Restored (Riley Family Legacy Novellas #3),Jaipur,5591302.0,650,1
3 BHK Apartment - Batman: The Long Halloween (Batman),Delhi,10269280.0,1200,3
4 BHK Apartment - Batman: The Dark Knight Returns (Batman),Kolkata,12068625.0,1800,4
4 BHK Apartment - Ayumi's Violin,Gurgaon,7204463.0,500,4
4 BHK Apartment - Anonymous,Indore,9962444.0,1500,4
5 BHK Apartment - Amy Meets the Saints and Sages,Bangalore,10506669.0,1200,5
3 BHK Apartment - Amid the Chaos,Kolkata,5719020.0,500,3
5 BHK Apartment - Amatus,Hyderabad,14382075.0,2200,5
2 BHK Apartment - Agnostic: A Spirited Manifesto,Chandigarh,9885853.0,1500,2
1 BHK Apartment - Zealot: The Life and Times of Jesus of Nazareth,Hyderabad,11470654.0,1800,1
4 BHK Apartment - You (You #1),Chennai,16786906.0,2800,4
"1 BHK Apartment - Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Ghaziabad,9743493.0,1500,1
4 BHK Apartment - Wild Swans,Bangalore,8788948.0,800,4
1 BHK Apartment - Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,Gurgaon,13800844.0,2200,1
5 BHK Apartment - Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Kolkata,8793249.0,1000,5
2 BHK Apartment - What's It Like in Space?: Stories from Astronauts Who've Been There,Gurgaon,16893961.0,2800,2
"4 BHK Apartment - We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Hyderabad,14072707.0,2200,4
5 BHK Apartment - Walt Disney's Alice in Wonderland,Kolkata,16888373.0,2800,5
1 BHK Apartment - V for Vendetta (V for Vendetta Complete),Mumbai,12720659.0,1800,1
1 BHK Apartment - Until Friday Night (The Field Party #1),Gurgaon,6915453.0,650,1
"5 BHK Apartment - Unbroken: A World War II Story of Survival, Resilience, and Redemption",Noida,6969975.0,500,5
1 BHK Apartment - Twenty Yawns,Indore,9142993.0,1500,1
5 BHK Apartment - Through the Woods,Bhopal,13400375.0,2200,5
1 BHK Apartment - This Is Where It Ends,Hyderabad,7697986.0,1000,1
2 BHK Apartment - The Year of Magical Thinking,Hyderabad,16160351.0,2800,2
4 BHK Apartment - The Wright Brothers,Pune,7934896.0,800,4
1 BHK Apartment - The White Queen (The Cousins' War #1),Noida,10310117.0,1500,1
3 BHK Apartment - The Wedding Pact (The O'Malleys #2),Gurgaon,8925221.0,1000,3
3 BHK Apartment - The Time Keeper,Chandigarh,5783421.0,500,3
2 BHK Apartment - The Testament of Mary,Jaipur,12984216.0,2200,2
4 BHK Apartment - The Star-Touched Queen,Gurgaon,8225801.0,800,4
4 BHK Apartment - The Songs of the Gods,Mumbai,9198980.0,800,4
4 BHK Apartment - The Song of Achilles,Jaipur,11881886.0,1800,4
5 BHK Apartment - The Rosie Project (Don Tillman #1),Jaipur,7460672.0,800,5
3 BHK Apartment - The Power of Habit: Why We Do What We Do in Life and Business,Chandigarh,11577178.0,1800,3
3 BHK Apartment - The Marriage of Opposites,Faridabad,16459846.0,2800,3
4 BHK Apartment - The Lucifer Effect: Understanding How Good People Turn Evil,Hyderabad,16954590.0,2800,4
1 BHK Apartment - The Long Haul (Diary of a Wimpy Kid #9),Faridabad,8599869.0,1200,1
3 BHK Apartment - The Loney,Indore,6668945.0,800,3
5 BHK Apartment - The Literature Book (Big Ideas Simply Explained),Pune,11591127.0,1500,5
1 BHK Apartment - The Last Mile (Amos Decker #2),Mumbai,10194349.0,1200,1
2 BHK Apartment - The Immortal Life of Henrietta Lacks,Chandigarh,5412857.0,500,2
1 BHK Apartment - The Hidden Oracle (The Trials of Apollo #1),Ghaziabad,15690213.0,2800,1
5 BHK Apartment - The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,Mumbai,9415784.0,800,5
1 BHK Apartment - The Guilty (Will Robie #4),Mumbai,17477926.0,2800,1
1 BHK Apartment - The First Hostage (J.B. Collins #2),Chennai,11079447.0,1800,1
1 BHK Apartment - The Dovekeepers,Kolkata,12817744.0,2200,1
5 BHK Apartment - The Darkest Lie,Mumbai,18585701.0,2800,5
5 BHK Apartment - The Bane Chronicles (The Bane Chronicles #1-11),Noida,7015668.0,500,5
3 BHK Apartment - The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Ghaziabad,13407516.0,2200,3
4 BHK Apartment - The 14th Colony (Cotton Malone #11),Bangalore,17667421.0,2800,4
1 BHK Apartment - That Darkness (Gardiner and Renner #1),Gurgaon,13863097.0,2200,1
3 BHK Apartment - Tastes Like Fear (DI Marnie Rome #3),Indore,15653817.0,2800,3
4 BHK Apartment - Take Me with You,Jaipur,11800323.0,1800,4
1 BHK Apartment - Swell: A Year of Waves,Chennai,11020186.0,1800,1
3 BHK Apartment - Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Ghaziabad,16239433.0,2800,3
1 BHK Apartment - Still Life with Bread Crumbs,Bangalore,16763002.0,2800,1
4 BHK Apartment - Steve Jobs,Mumbai,18268101.0,2800,4
2 BHK Apartment - Sorting the Beef from the Bull: The Science of Food Fraud Forensics,Mumbai,11869655.0,1500,2
4 BHK Apartment - Someone Like You (The Harrisons #2),Ghaziabad,6052764.0,500,4
"3 BHK Apartment - So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Chandigarh,8056915.0,1000,3
3 BHK Apartment - Shtum,Noida,8065706.0,800,3
3 BHK Apartment - See America: A Celebration of Our National Parks & Treasured Sites,Pune,7721049.0,800,3
5 BHK Apartment - salt.,Indore,7346893.0,800,5
1 BHK Apartment - Robin War,Ghaziabad,6462323.0,800,1
"5 BHK Apartment - Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Bhopal,11707052.0,1800,5
1 BHK Apartment - Rain Fish,Chandigarh,15520211.0,2800,1
"5 BHK Apartment - Quarter Life Poetry: Poems for the Young, Broke and Hangry",Faridabad,11027564.0,1500,5
2 BHK Apartment - Pet Sematary,Kolkata,7880143.0,1000,2
"2 BHK Apartment - Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",Ghaziabad,8710271.0,1200,2
5 BHK Apartment - Once Was a Time,Delhi,7728279.0,500,5
1 BHK Apartment - Old School (Diary of a Wimpy Kid #10),Ghaziabad,5180464.0,500,1
1 BHK Apartment - No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Jaipur,9460740.0,1500,1
"3 BHK Apartment - Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Jaipur,6349148.0,650,3
1 BHK Apartment - My Name Is Lucy Barton,Faridabad,11348513.0,1800,1
4 BHK Apartment - My Mrs. Brown,Hyderabad,7176254.0,650,4
2 BHK Apartment - My Kind of Crazy,Delhi,12678940.0,1800,2
5 BHK Apartment - Mr. Mercedes (Bill Hodges Trilogy #1),Chennai,7043045.0,650,5
1 BHK Apartment - More Than Music (Chasing the Dream #1),Ghaziabad,9833929.0,1500,1
5 BHK Apartment - Made to Stick: Why Some Ideas Survive and Others Die,Delhi,11030238.0,1200,5
2 BHK Apartment - Luis Paints the World,Mumbai,8438312.0,800,2
5 BHK Apartment - Luckiest Girl Alive,Pune,17268507.0,2800,5
4 BHK Apartment - Lowriders to the Center of the Earth (Lowriders in Space #2),Chandigarh,9275084.0,1200,4
1 BHK Apartment - Love Is a Mix Tape (Music #1),Hyderabad,8746086.0,1200,1
4 BHK Apartment - Looking for Lovely: Collecting the Moments that Matter,Kolkata,5880863.0,500,4
"4 BHK Apartment - Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",Chandigarh,16449447.0,2800,4
2 BHK Apartment - Let It Out: A Journey Through Journaling,Noida,13899369.0,2200,2
